mechanism	part_id	param_name	value	comments
two_component_membrane_signaling		kb_sigMS	2E-3	Abritrary value for the binding of signal substrate and membrane sensor: S + P --> P*
membrane_sensor		ku_sigMS	2E-10	Arbitrary value for the unbinding of signal substrate and membrane sensor: S + P <-- P*
membrane_sensor		kb_autoPhos	2E-03	Arbitrary value for the binding of ATP and membrane sensor: P* + ATP --> P*:ATP
membrane_sensor		ku_autoPhos	2E-10	Arbitrary value for the unbinding of ATP and membrane sensor: P* + ATP <-- P*:ATP
membrane_sensor		k_hydro	1E-1	Arbitrary value for the hydrolysis: P*:ATP --> P*:Pi:ADP
membrane_sensor		ku_waste	8E-1	Arbitrary value for the unbinding of waste product from hydrolyzed membrane sensor: P*:Pi:ADP--> P*:Pi +ADP
membrane_sensor		kb_phosRP	2E-3	Arbitrary value for the binding of phosphoryled membrane sensor and response protein: P*:Pi + RP --> P*:Pi:RP
membrane_sensor		ku_phosRP	1E-10	Arbitrary value for the unbinding of phosphoryled membrane sensor and response protein: P*:Pi + RP <-- P*:Pi:RP
membrane_sensor		k_phosph	1E-1	Arbitrary value for the phosphorylation of response protein: P*:Pi:RP --> P*:RP:Pi
membrane_sensor		ku_activeRP	2E-1	Arbitrary value for the unbinding of response protein and membrane sensor
membrane_sensor		ku_dephos	2E-10	Arbitrary value for the dephosphorylation of response protein: RP:Pi--> RP + Pi

membrane_protein_integration		kb_oligmor	2E-3	Arbitrary
membrane_protein_integration		ku_oligmor	2E-10	Arbitrary 
membrane_protein_integration		kex	1E1	Arbitrary
membrane_protein_integration		kcat	5E-1	Arbitrary 
